夏园	xia'yuan
燕子岗	yan'zi'gang
珠江南景园总站	zhu'jiang'nan'jing'yuan'zong'zhan
东方一路口	dong'fang'yi'lu'kou
东方一路	dong'fang'yi'lu
东方三路	dong'fang'san'lu
华师大南门	hua'shi'da'nan'men
华师附中	hua'shi'fu'zhong
华工大	hua'gong'da
华农大正门	hua'nong'da'zheng'men
五山学生公寓	wu'shan'xue'sheng'gong'yu
苗圃	miao'pu
岑村公安宿舍	cen'cun'gong'an'su'she
岑村	cen'cun
华观路	hua'guan'lu
华观路总站	hua'guan'lu'zong'zhan
广东电视台	guang'dong'dian'shi'tai
凌塘环村路总站	ling'tang'huan'cun'lu'zong'zhan
凌塘村	ling'tang'cun
华观路	hua'guan'lu
长兴路东	chang'xing'lu'dong
伟伦体校	wei'lun'ti'xiao
长湴市场	zhang'ban'shi'chang
天鹅花园	tian'e'hua'yuan
长兴路口	chang'xing'lu'kou
上元岗	shang'yuan'gang
天河客运站	tian'he'ke'yun'zhan
银河园	yin'he'yuan
武警医院	wu'jing'yi'yuan
燕塘企业	yan'tang'qi'ye
燕岭大厦	yan'ling'da'sha
金燕生活区	jin'yan'sheng'huo'qu
粤垦路瑞心苑	yue'ken'lu'rui'xin'yuan
农垦总局	nong'ken'zong'ju
春晖苑	chun'hui'yuan
天寿路	tian'shou'lu
天润路口	tian'run'lu'kou
穗园小区	sui'yuan'xiao'qu
天润路	tian'run'lu
五山路口	wu'shan'lu'kou
员村	yuan'cun
程界村	cheng'jie'cun
员村四横路口	yuan'cun'si'heng'lu'kou
员村总站	yuan'cun'zong'zhan
员村四横路	yuan'cun'si'heng'lu
龙口东	long'kou'dong
龙口西	long'kou'xi
长福路	zhang'fu'lu
轻工中专	qing'gong'zhong'zhuan
长福路东	zhang'fu'lu'dong
车陂总站	che'bei'zong'zhan
车陂公交场	che'bei'gong'jiao'chang
车陂路	che'bei'lu
军体院	jun'ti'yuan
射击场	she'ji'chang
天源路中	tian'yuan'lu'zhong
科学院	ke'xue'yuan
三宝墟	san'bao'xu
植物园正门	zhi'wu'yuan'zheng'men
天源路总站	tian'yuan'lu'zong'zhan
龙洞牌坊	long'dong'pai'fang
地铁植物园站	di'tie'zhi'wu'yuan'zhan
地铁长湴站	di'tie'zhang'ban'zhan
棠下村	tang'xia'cun
小区东路	xiao'qu'dong'lu
泰安北路	tai'an'bei'lu
棠德南路	tang'de'nan'lu
棠德路	tang'de'lu
锦城花园总站	jin'cheng'hua'yuan'zong'zhan
员村东	yuan'cun'dong
黄埔大道	huang'pu'da'dao
护林路	hu'lin'lu
珠吉公路	zhu'ji'gong'lu
吉山新路街	ji'shan'xin'lu'jie
吉山村委	ji'shan'cun'wei
天河儿童公园北门总站	tian'he'er'tong'gong'yuan'bei'men'zong'zhan
吉山幼儿园	ji'shan'you'er'yuan
潮汕学院	chao'shan'xue'yuan
珠村小学	zhu'cun'xiao'xue
珠吉路口	zhu'ji'lu'kou
车陂南	che'bei'nan
云台花园	yun'tai'hua'yuan
白云索道	bai'yun'suo'dao
金贵村	jin'gui'cun
濂泉路口	lian'quan'lu'kou
时代广场	shi'dai'guang'chang
天河北路	tian'he'bei'lu
天河东路	tian'he'dong'lu
天河东路口	tian'he'dong'lu'kou
大沙地	da'sha'di
大沙西	da'sha'xi
大沙东	da'sha'dong
丰乐北路	feng'le'bei'lu
大沙北路	da'sha'bei'lu
黄埔体育中心总站	huang'pu'ti'yu'zhong'xin'zong'zhan
沙河	sha'he
广州火车东站	guang'zhou'huo'che'dong'zhan
林和西路	lin'he'xi'lu
文冲村委	wen'chong'cun'wei
石化路总站	shi'hua'lu'zong'zhan
林和中路	lin'he'zhong'lu
汇彩路北总站	hui'cai'lu'bei'zong'zhan
车陂路口	che'bei'lu'kou
柯子岭牌坊	ke'zi'ling'pai'fang
云城中一路	yun'cheng'zhong'yi'lu
广外	guang'wai
黄石东路口	huang'shi'dong'lu'kou
陈田村	chen'tian'cun
元下田	yuan'xia'tian
永泰路口	yong'tai'lu'kou
永泰客运站	yong'tai'ke'yun'zhan
永泰广场	yong'tai'guang'chang
永泰新村口	yong'tai'xin'cun'kou
广州体育馆	guang'zhou'ti'yu'guan
白云大道南	bai'yun'da'dao'nan
大金钟路	da'jin'zhong'lu
白云山管理局	bai'yun'shan'guan'li'ju
科学院地化所	ke'xue'yuan'di'hua'suo
消防总队	xiao'fang'zong'dui
瘦狗岭	shou'gou'ling
杨桃公园总站	yang'tao'gong'yuan'zong'zhan
桃园路	tao'yuan'lu
林和东路	lin'he'dong'lu
林乐路	lin'le'lu
革新路总站	ge'xin'lu'zong'zhan
金沙路	jin'sha'lu
沙园	sha'yuan
梅园西	mei'yuan'xi
革新路口	ge'xin'lu'kou
洪德路	hong'de'lu
同福西	tong'fu'xi
同福中	tong'fu'zhong
市二宫	shi'er'gong
江南大道北	jiang'nan'da'dao'bei
南华东路	nan'hua'dong'lu
草芳围	cao'fang'wei
大元帅府	da'yuan'shuai'fu
石涌口	shi'yong'kou
滨江东路	bin'jiang'dong'lu
沿江东路	yan'jiang'dong'lu
二沙西	er'sha'xi
省中医二沙分院	sheng'zhong'yi'er'sha'fen'yuan
星海音乐厅	xing'hai'yin'yue'ting
二沙东	er'sha'dong
星海音乐厅	xing'hai'yin'yue'ting
大沙头游船码头	da'sha'tou'you'chuan'ma'tou
海珠桥底	hai'zhu'qiao'di
海幢寺	hai'chuang'si
大基头	da'ji'tou
凤凰岗	feng'huang'gang
五羊邨	wu'yang'cun
花城大道	hua'cheng'da'dao
星汇园	xing'hui'yuan
彩频路	cai'pin'lu
广东软件园	guang'dong'ruan'jian'yuan
神舟路中	shen'zhou'lu'zhong
神舟路北	shen'zhou'lu'bei
香山路南	xiang'shan'lu'nan
香山路中	xiang'shan'lu'zhong
广州科学城总站	guang'zhou'ke'xue'cheng'zong'zhan
科珠路	ke'zhu'lu
科韵路公交场	ke'yun'lu'gong'jiao'chang
猎德大道北	lie'de'da'dao'bei
金穗路	jin'sui'lu
华穗路	hua'sui'lu
东圃总站	dong'pu'zong'zhan
明珠新村	ming'zhu'xin'cun
东圃	dong'pu
东圃石溪村	dong'pu'shi'xi'cun
石溪村口	shi'xi'cun'kou
黄埔体育馆	huang'pu'ti'yu'guan
碧山村	bi'shan'cun
丰乐北横路口	feng'le'bei'heng'lu'kou
姬堂	ji'tang
上堂	shang'tang
丰乐北路	feng'le'bei'lu
姬堂商业街	ji'tang'shang'ye'jie
文加路	wen'jia'lu
旧围村	jiu'wei'cun
枝山村	zhi'shan'cun
岗头	gang'tou
开发区加速产业园区	kai'fa'qu'jia'su'chan'ye'yuan'qu
火村	huo'cun
瑞和路口	rui'he'lu'kou
开泰大道	kai'tai'da'dao
开泰大道	kai'tai'da'dao
开泰大道	kai'tai'da'dao
荔红二路	li'hong'er'lu
萝岗香雪牌坊	luo'gang'xiang'xue'pai'fang
下中路总站	xia'zhong'lu'zong'zhan
北山	bei'shan
风茂街	feng'mao'jie
星海学院	xing'hai'xue'yuan
华师	hua'shi
广大生活区	guang'da'sheng'huo'qu
广大	guang'da
广大公寓	guang'da'gong'yu
广美生活区	guang'mei'sheng'huo'qu
美术学院	mei'shu'xue'yuan
市国家档案馆南	shi'guo'jia'dang'an'guan'nan
大学城中部枢纽总站	da'xue'cheng'zhong'bu'shu'niu'zong'zhan
综合商业北区	zong'he'shang'ye'bei'qu
仑头立交	lun'tou'li'jiao
南岗	nan'gang
南岗	nan'gang
南岗化工厂	nan'gang'hua'gong'chang
丹水坑	dan'shui'keng
塘头	tang'tou
开发大道立交东	kai'fa'da'dao'li'jiao'dong
软件路西	ruan'jian'lu'xi
高唐路	gao'tang'lu
凌塘村	ling'tang'cun
黄埔客运站	huang'pu'ke'yun'zhan
地铁鱼珠站总站	di'tie'yu'zhu'zhan'zong'zhan
丰乐路	feng'le'lu
开发区路口	kai'fa'qu'lu'kou
保税区西门	bao'shui'qu'xi'men
青年路口	qing'nian'lu'kou
创业路口	chuang'ye'lu'kou
创业路	chuang'ye'lu
开发区医院	kai'fa'qu'yi'yuan
友谊路	you'yi'lu
保税区南门	bao'shui'qu'nan'men
广保大道南	guang'bao'da'dao'nan
广保大道北	guang'bao'da'dao'bei
保税区总站	bao'shui'qu'zong'zhan
西基总站	xi'ji'zong'zhan
东基	dong'ji
文冲市场	wen'chong'shi'chang
黄埔区儿童公园	huang'pu'qu'er'tong'gong'yuan
黄埔区少年宫	huang'pu'qu'shao'nian'gong
广州本田公司	guang'zhou'ben'tian'gong'si
茅岗路口	mao'gang'lu'kou
边防指挥学校	bian'fang'zhi'hui'xue'xiao
奥体南路	ao'ti'nan'lu
奥林匹克体育中心总站	ao'lin'pi'ke'ti'yu'zhong'xin'zong'zhan
康南路北	kang'nan'lu'bei
康南路	kang'nan'lu
宝丰路	bao'feng'lu
富南路南	fu'nan'lu'nan
富南路北	fu'nan'lu'bei
东区路口	dong'qu'lu'kou
广新路	guang'xin'lu
海安社区	hai'an'she'qu
港湾路口	gang'wan'lu'kou
港湾市场	gang'wan'shi'chang
东苑小区	dong'yuan'xiao'qu
茅岗公寓	mao'gang'gong'yu
茅岗新村总站	mao'gang'xin'cun'zong'zhan
开发区总站	kai'fa'qu'zong'zhan
新安路	xin'an'lu
永顺大道	yong'shun'da'dao
永和开发区	yong'he'kai'fa'qu
新庄二路	xin'zhuang'er'lu
永和大道中	yong'he'da'dao'zhong
永和隧道南	yong'he'sui'dao'nan
永和大道	yong'he'da'dao
洋城学校	yang'cheng'xue'xiao
萝岗村口	luo'gang'cun'kou
广州海关车检场	guang'zhou'hai'guan'che'jian'chang
云埔工业区	yun'bu'gong'ye'qu
荷村	he'cun
骏业路口	jun'ye'lu'kou
开创大道中	kai'chuang'da'dao'zhong
开创大道	kai'chuang'da'dao
严田村	yan'tian'cun
宏光路口	hong'guang'lu'kou
开创大道口	kai'chuang'da'dao'kou
黄埔港	huang'pu'gang
中码头	zhong'ma'tou
蟹山西	xie'shan'xi
鱼珠码头	yu'zhu'ma'tou
蟹山	xie'shan
东山总站	dong'shan'zong'zhan
大东门	da'dong'men
农讲所	nong'jiang'suo
文德路	wen'de'lu
南关	nan'guan
海珠广场	hai'zhu'guang'chang
爱群大厦	ai'qun'da'sha
六二三路	liu'er'san'lu
市中医院	shi'zhong'yi'yuan
花地大道北	hua'di'da'dao'bei
芳村合兴苑	fang'cun'he'xing'yuan
东漖北路	dong'jiao'bei'lu
汾水	fen'shui
浣花路	huan'hua'lu
芳村客运站	fang'cun'ke'yun'zhan
龙溪大道东	long'xi'da'dao'dong
芳村花园南门总站	fang'cun'hua'yuan'nan'men'zong'zhan
芳村隧道口	fang'cun'sui'dao'kou
黄沙码头	huang'sha'ma'tou
南方大厦	nan'fang'da'sha
靖海路口	jing'hai'lu'kou
珠光路	zhu'guang'lu
北京南	bei'jing'nan
泮塘总站	pan'tang'zong'zhan
泮塘	pan'tang
多宝路口	duo'bao'lu'kou
恩宁路	en'ning'lu
和平中	he'ping'zhong
上九路	shang'jiu'lu
上九东	shang'jiu'dong
东升医院	dong'sheng'yi'yuan
人民中路	ren'min'zhong'lu
人民北路	ren'min'bei'lu
西门口	xi'men'kou
长寿西康王路口	chang'shou'xi'kang'wang'lu'kou
地铁长寿路站	di'tie'chang'shou'lu'zhan
宝华路口	bao'hua'lu'kou
逢源路	feng'yuan'lu
如意坊	ru'yi'fang
如意坊	ru'yi'fang
多宝路	duo'bao'lu
大德路	da'de'lu
省中医院	sheng'zhong'yi'yuan
解放南路口	jie'fang'nan'lu'kou
起义路口	qi'yi'lu'kou
东华西路	dong'hua'xi'lu
东华东路西	dong'hua'dong'lu'xi
东华东路	dong'hua'dong'lu
东山龟岗总站	dong'shan'gui'gang'zong'zhan
惠福路	hui'fu'lu
惠福西	hui'fu'xi
多宝路	duo'bao'lu
富力桃园总站	fu'li'tao'yuan'zong'zhan
西增路	xi'zeng'lu
富力环市西苑	fu'li'huan'shi'xi'yuan
彩虹戏院	cai'hong'xi'yuan
西华路	xi'hua'lu
大新路口	da'xin'lu'kou
一德西	yi'de'xi
一德中	yi'de'zhong
一德东	yi'de'dong
天字码头	tian'zi'ma'tou
文德南	wen'de'nan
东堤	dong'di
白云路	bai'yun'lu
长堤	zhang'di
人民南路	ren'min'nan'lu
和平新村	he'ping'xin'cun
南洲路口	nan'zhou'lu'kou
晓港湾	xiao'gang'wan
瑞南新村	rui'nan'xin'cun
五凤乡	wu'feng'xiang
东晓南路	dong'xiao'nan'lu
晓港新村	xiao'gang'xin'cun
云桂村	yun'gui'cun
基立村	ji'li'cun
解放中路	jie'fang'zhong'lu
迎宾馆	ying'bin'guan
解放北路口	jie'fang'bei'lu'kou
人民北路	ren'min'bei'lu
克山	ke'shan
市客运站总站	shi'ke'yun'zhan'zong'zhan
站南路	zhan'nan'lu
草暖公园	cao'nuan'gong'yuan
解放北路	jie'fang'bei'lu
盘福路	pan'fu'lu
前进路	qian'jin'lu
南洲名苑北	nan'zhou'ming'yuan'bei
黄沙	huang'sha
起义路	qi'yi'lu
公园前	gong'yuan'qian
越华路	yue'hua'lu
小北花圈	xiao'bei'hua'quan
小北	xiao'bei
黄花岗	huang'hua'gang
动物园	dong'wu'yuan
十九路军陵园	shi'jiu'lu'jun'ling'yuan
水荫路	shui'yin'lu
天河北公交总站	tian'he'bei'gong'jiao'zong'zhan
区庄立交西	qu'zhuang'li'jiao'xi
宝华路	bao'hua'lu
和平西	he'ping'xi
珠玑路	zhu'ji'lu
大沙头总站	da'sha'tou'zong'zhan
越秀南路	yue'xiu'nan'lu
万福东	wan'fu'dong
万福路	wan'fu'lu
财厅	cai'ting
中山五路	zhong'shan'wu'lu
省妇幼	sheng'fu'you
王圣堂	wang'sheng'tang
瑶台	yao'tai
北站	bei'zhan
沙涌	sha'yong
棠下	tang'xia
三元里大道中	san'yuan'li'da'dao'zhong
德康路	de'kang'lu
同德围	tong'de'wei
石槎路	shi'cha'lu
地铁石潭站	di'tie'shi'tan'zhan
石槎路	shi'cha'lu
桥东	qiao'dong
石槎路总站	shi'cha'lu'zong'zhan
市客运站	shi'ke'yun'zhan
吉祥路	ji'xiang'lu
白云路	bai'yun'lu
市三宫	shi'san'gong
华贵路口	hua'gui'lu'kou
龙津中路	long'jin'zhong'lu
龙津东路	long'jin'dong'lu
海珠广场	hai'zhu'guang'chang
南华中	nan'hua'zhong
珠江泳场	zhu'jiang'yong'chang
中大北门西	zhong'da'bei'men'xi
中大北门	zhong'da'bei'men
中信乐涛苑	zhong'xin'le'tao'yuan
下渡路口	xia'du'lu'kou
逸景路	yi'jing'lu
逸景翠园总站	yi'jing'cui'yuan'zong'zhan
华盛南路	hua'sheng'nan'lu
天雄布市	tian'xiong'bu'shi
海珠桥脚	hai'zhu'qiao'jiao
海珠广场	hai'zhu'guang'chang
海珠中路	hai'zhu'zhong'lu
大新西	da'xin'xi
南洲名苑	nan'zhou'ming'yuan
金碧花园	jin'bi'hua'yuan
新滘西路口	xin'jiao'xi'lu'kou
石溪	shi'xi
保利花园	bao'li'hua'yuan
纸厂	zhi'chang
珠江医院	zhu'jiang'yi'yuan
基建新村	ji'jian'xin'cun
凤凰新村	feng'huang'xin'cun
黄沙后道	huang'sha'hou'dao
黄沙大道	huang'sha'da'dao
荔湾湖公园西门	li'wan'hu'gong'yuan'xi'men
中山八路	zhong'shan'ba'lu
石路基	shi'lu'ji
荔湾路	li'wan'lu
彩虹桥	cai'hong'qiao
西华路尾	xi'hua'lu'wei
荔湾路口	li'wan'lu'kou
嘉鸿花园	jia'hong'hua'yuan
昌岗路总站	chang'gang'lu'zong'zhan
昌岗路口	chang'gang'lu'kou
南泰路西	nan'tai'lu'xi
仓边路	cang'bian'lu
华乐大厦	hua'le'da'sha
淘金北路	tao'jin'bei'lu
恒福路总站	heng'fu'lu'zong'zhan
省第二中医院	sheng'di'er'zhong'yi'yuan
海珠广场	hai'zhu'guang'chang
昌岗西路	chang'gang'xi'lu
体育中心东门	ti'yu'zhong'xin'dong'men
体育东路	ti'yu'dong'lu
天河邮局	tian'he'you'ju
冼村路北	xian'cun'lu'bei
冼村路中	xian'cun'lu'zhong
猎德	lie'de
猎德东	lie'de'dong
广州塔西	guang'zhou'ta'xi
赤岗塔	chi'gang'ta
新鸿花园	xin'hong'hua'yuan
广州大桥底	guang'zhou'da'qiao'di
珠江广场	zhu'jiang'guang'chang
东晓路	dong'xiao'lu
仲恺路	zhong'kai'lu
怡安花园朗晴居	yi'an'hua'yuan'lang'qing'ju
大元帅府	da'yuan'shuai'fu
万科四季花城总站	wan'ke'si'ji'hua'cheng'zong'zhan
浔峰山西路中	xun'feng'shan'xi'lu'zhong
悦峰三街路口	yue'feng'san'jie'lu'kou
地铁浔峰岗站	di'tie'xun'feng'gang'zhan
地铁横沙站	di'tie'heng'sha'zhan
金沙洲路	jin'sha'zhou'lu
金沙洲大桥西	jin'sha'zhou'da'qiao'xi
大沙头	da'sha'tou
二沙岛西总站	er'sha'dao'xi'zong'zhan
六榕路	liu'rong'lu
市一医院	shi'yi'yi'yuan
广卫路总站	guang'wei'lu'zong'zhan
教育路南	jiao'yu'lu'nan
地铁市二宫站	di'tie'shi'er'gong'zhan
赤岗	chi'gang
江海大道中	jiang'hai'da'dao'zhong
大塘	da'tang
龙潭村	long'tan'cun
龙潭村牌坊	long'tan'cun'pai'fang
新滘中路	xin'jiao'zhong'lu
新滘东路中	xin'jiao'dong'lu'zhong
赤沙路西	chi'sha'lu'xi
赤沙总站	chi'sha'zong'zhan
江南大道中	jiang'nan'da'dao'zhong
汾水小区总站	fen'shui'xiao'qu'zong'zhan
华贵路	hua'gui'lu
荣兴路	rong'xing'lu
茶漖小区	cha'jiao'xiao'qu
元岗总站	yuan'gang'zong'zhan
元岗路	yuan'gang'lu
元岗路	yuan'gang'lu
元岗横路	yuan'gang'heng'lu
云景花园	yun'jing'hua'yuan
京溪路	jing'xi'lu
犀牛路口	xi'niu'lu'kou
农林下路	nong'lin'xia'lu
东川路	dong'chuan'lu
凤凰岗	feng'huang'gang
执信中学	zhi'xin'zhong'xue
德星路总站	de'xing'lu'zong'zhan
华林寺	hua'lin'si
康王中路	kang'wang'zhong'lu
陈家祠	chen'jia'ci
珠江桥脚	zhu'jiang'qiao'jiao
南岸路	nan'an'lu
西场立交	xi'chang'li'jiao
西湾路	xi'wan'lu
黑山	hei'shan
西湾路	xi'wan'lu
西湾和苑	xi'wan'he'yuan
鹅掌坦	e'zhang'tan
同德乡	tong'de'xiang
上步村	shang'bu'cun
横滘	heng'jiao
泽德花苑	ze'de'hua'yuan
聚龙工业区	ju'long'gong'ye'qu
槎头	cha'tou
槎头	cha'tou
湖天货运站	hu'tian'huo'yun'zhan
凰岗路口	huang'gang'lu'kou
石潭西路口	shi'tan'xi'lu'kou
石丰路口	shi'feng'lu'kou
凰岗总站	huang'gang'zong'zhan
石榴岗	shi'liu'gang
台涌	tai'yong
石榴岗路西	shi'liu'gang'lu'xi
体育西横街路口	ti'yu'xi'heng'jie'lu'kou
冼村路南	xian'cun'lu'nan
桥中	qiao'zhong
芳村大道西	fang'cun'da'dao'xi
桥东小区	qiao'dong'xiao'qu
石围塘	shi'wei'tang
山村	shan'cun
花地	hua'di
芳村	fang'cun
下芳村	xia'fang'cun
大冲口	da'chong'kou
鹤洞新村	he'dong'xin'cun
广中码头	guang'zhong'ma'tou
真光中学	zhen'guang'zhong'xue
广州市培英中学	guang'zhou'shi'pei'ying'zhong'xue
白鹤洞	bai'he'dong
鹤洞路西	he'dong'lu'xi
西塱	xi'lang
麦村	mai'cun
渔尾大桥东	yu'wei'da'qiao'dong
花地大道	hua'di'da'dao
花地大道南	hua'di'da'dao'nan
沙尾桥	sha'wei'qiao
观海路	guan'hai'lu
岭南V谷总站	ling'nan'V'gu'zong'zhan
接龙里	jie'long'li
花蕾路	hua'lei'lu
桥中	qiao'zhong
天河南	tian'he'nan
大塘总站	da'tang'zong'zhan
兴盛路口	xing'sheng'lu'kou
解放北路总站	jie'fang'bei'lu'zong'zhan
越秀公园	yue'xiu'gong'yuan
三元里大道	san'yuan'li'da'dao
三元里	san'yuan'li
棠溪	tang'xi
